Subcallosal.Gyrus:double,Transverse.Temporal.Gyrus:double,Rectal.Gyrus:double,Fusiform.Gyrus:double,Inferior.Occipital.Gyrus:double,Inferior.Temporal.Gyrus:double,Parahippocampal.Gyrus:double,Lingual.Gyrus:double,Middle.Occipital.Gyrus:double,Orbital.Gyrus:double,Middle.Temporal.Gyrus:double,Superior.Temporal.Gyrus:double,Superior.Occipital.Gyrus:double,Precentral.Gyrus:double,Inferior.Frontal.Gyrus:double,Angular.Gyrus:double,Supramarginal.Gyrus:double,Cingulate.Gyrus:double,Middle.Frontal.Gyrus:double,Postcentral.Gyrus:double,Superior.Frontal.Gyrus:double,Medial.Frontal.Gyrus:double
-2.18418537429101,4.62685701684317,0.0531602232559928,6.17734609823574,3.72230074594299,-1.49592878234409,-1.42959591206726,1.5782543740565,1.15751002499333,1.03893187390156,-2.42485666497242,1.87980440761391,-11.9195784557691,-0.184240382544713,1.4652505659783,-5.15227677033391,1.36001004437506,-0.654591310062685,0.112899980998495,0.144073535588496,0.0823275179813538,2.08658400761837
0.346872339114877,-4.11806683404271,-0.127104864336604,-0.0977548433217734,4.72522068519746,-0.331493781201852,-8.44682304974443,-4.12334714187969,0.42573648926317,0.0501907746911422,-3.61292143182503,-3.70009821928129,-11.1453967200584,-4.73161303148912,-1.48351499578744,-2.30838198140861,-4.54636688872479,-4.9998162906062,-3.80042345723214,-6.54321660272298,0.0837367115196869,-6.2939967768446
-2.04296048073838,-4.45091741449722,-1.1143627673787,-3.30196705133586,-5.26235366781174,-3.33451507311667,-7.70401305002247,-2.01400910816751,-3.42678097174487,-0.587783353189677,-6.15098407326217,-2.8700809328315,-12.735285427581,-3.41309653925103,-0.500524821204649,-1.74628727864297,-0.803971607201026,-3.17029578656527,-1.98669334464109,-5.13518270562171,-0.811239193854225,-3.52577996777977
-0.47468383385085,3.26830527547973,-0.2616134858703,3.76470947419352,4.84957768691553,1.4880073419115,-1.51116591290157,6.88626847519217,9.06995764196946,0.488809490259084,1.9809554107166,3.26985626696337,-2.10924457833743,1.24656751253739,4.41422108972623,1.43400733796332,1.83719588894682,1.11919217146025,-0.172492276727368,-0.13642243246334,2.66759296750325,2.4312344348128
-2.07729772022249,1.17960123588825,0.824842980188609,2.30227473326641,-3.78898525062086,-2.00392653611733,-1.41828163838145,2.05748560820028,1.91595233040594,-0.409530694962557,-1.04710297988933,1.51971338010281,-0.477274172327178,0.487379123876125,0.760722737005404,-2.04749813158993,-1.41286440028166,-0.511352416530216,-1.95782025349086,0.433064216753045,1.65647084480767,2.55704643093313
3.90419786014667,0.552970466728323,1.19770663079802,2.51072872588287,0.0419575195788807,0.924683292796633,4.15463977353782,3.21964229085614,4.4312030935645,0.181996091145397,0.944840754920544,-0.18050959341265,12.6006257904496,0.409338294764876,-0.411019879367381,-3.53080368730264,-0.104152474885757,1.63807044946316,-2.40267727493175,0.723277242026175,-1.05460556194101,-0.698343979418964
2.60880290725667,2.07841296799999,0.354277465957935,0.590071452042703,-0.787594002484893,-0.50216317134634,2.1375983228563,1.76273852315965,2.43570993144553,-1.76521015141705,-1.533213384854,0.259187346416891,6.43445530999252,-1.4175549747962,-2.87100675939166,-2.72590932917463,2.65333166513396,1.94746076944049,-2.82706334104974,0.78421664335714,-0.985636252742772,0.1150632037568
2.25151742110748,0.885928739703149,0.434355485668349,0.760302911745944,0.842360183187705,0.646534071453563,3.05059400957375,4.91677430511171,0.899472844048599,0.187050577350093,1.50873460078704,3.65880419959115,-1.75578561369784,-0.903300684807185,-1.05923790306771,4.95718494279358,8.97958801977782,4.87681854340225,-0.550978451845224,0.765882420745124,-0.316621227597677,0.897267980460052
5.81334140169908,-1.03448221816243,0.91284068992926,-0.568576895007098,-1.29817992340334,2.89877502119648,5.50362683369052,1.64174963671148,0.122491831374127,-0.79942172255317,-0.359315288156393,-0.0909924204611022,9.9699030193781,-1.00789883526789,0.39428668960435,10.2084791286025,7.2846165890457,4.08614377134786,0.625577392682071,0.688274574191016,-0.547560486505499,3.05827035069111
4.12127484903153,-4.25281990559623,0.893933078740682,-2.54656796821674,-11.2692143222582,0.299559677882248,3.32669679520631,-5.59233548204081,-7.62523310657814,0.897072948873149,-0.0199983891288837,-0.0911930172838763,7.49152120922044,-6.84134942617843,-4.2004329813753,4.56797322825206,4.44841737293724,-4.43456354672201,-4.19739580746818,-6.03860689630624,-7.11845402946629,-2.20192968555022
